PRIMARY_SAMPLE_UNIT,YEAR,STATION_NR,DEPTH,MAX_HARD_RELIEF,MAX_SOFT_RELIEF,AVG_HARD_RELIEF,PCT_SAND,PCT_HARD_BOTTOM,PCT_RUBBLE,PCT_CORAL,PCT_OCTO,PCT_SPONGE,LAT_DEGREES,LON_DEGREES
1000,2017,1,2.286,2.15,0.4,0.737625,50,50,0,7,2,3.5,17.7895,-64.62008
1011,2017,1,10.9728,1.35,0.6,0.5905,40,47.5,12.5,7,10.5,1.5,17.78448,-64.61262
1012,2017,1,25.4508,1.25,0.95,0.592125,2.5,97.5,0,30,12.5,10,17.71263,-64.56859
1014,2017,1,27.8892,0.9,1.55,0.41225,4,95,1,21.5,18,8.5,17.73606,-64.53035
1015,2017,1,19.812,1.5,1.625,0.4775,0,100,0,15,11.5,5,17.76156,-64.50001
1016,2017,1,21.4884,0.525,1.2,0.185,4,95,1,15,17.5,10,17.76191,-64.5005
1017,2017,1,24.9936,2.75,1.35,0.981875,2.5,97.5,0,13.5,7.5,4,17.76616,-64.49597
1018,2017,1,16.4592,1.6,0.95,0.43325,17.5,82.5,0,8.5,7,11.5,17.74224,-64.89974
1020,2017,1,18.8976,1.8,1.05,0.683,16,79,5,12.5,7.5,10,17.77099,-64.81931
1021,2017,1,19.5072,1.55,1.35,0.61125,10,85,5,11,27.5,9,17.77793,-64.67764
1023,2017,1,14.1732,1.45,0.975,0.51,10,90,0,10,5,7.5,17.78533,-64.76053
1024,2017,1,21.7932,0.8,1.45,0.39625,2.5,97.5,0,9.5,8.5,8,17.78686,-64.75798
1025,2017,1,21.4884,1.6,0.8,0.8665,11.5,79.5,9,5,5,6.5,17.63772,-64.86058
1026,2017,1,19.6596,2.35,0.725,0.831125,10,77.5,12.5,9,6.5,7.5,17.64588,-64.8119
1027,2017,1,17.9832,1.725,0.9,0.6080625,5,80,15,8,6.5,8,17.64678,-64.80884
1032,2017,1,26.8224,0.725,0.775,0.28625,6,93,1,3,3,6,17.66703,-64.75954
1033,2017,1,27.1272,0.51,1.3,0.25375,1,98.5,0.5,2,12.5,9,17.69822,-64.62501
1034,2017,1,28.6512,0.9,0.8,0.72125,4,96,0,27.5,10,3.5,17.80351,-64.55044
1035,2017,1,27.7368,0.475,1.5,0.1145,3.5,94,2.5,4,32.5,13.5,17.817,-64.43281
1036,2017,1,25.908,0.5,0.975,0.129,3.5,96.5,0,4,5,5,17.81687,-64.43145
1039,2017,1,28.8036,5.85,1.35,2.67025,12.5,87.5,0,20,4.5,5.5,17.7843,-64.75804
1041,2017,1,22.7076,3.4,0.775,1.1105,25,72.5,2.5,7,2.5,4.5,17.66377,-64.7722
1043,2017,1,17.0688,1.275,1.5,0.36375,55,42.5,2.5,16,53,7,17.77786,-64.59504
1044,2017,1,11.1252,1.625,1.475,0.5153125,7.5,62.5,30,5,17.5,7.5,17.77971,-64.5946
1045,2017,1,15.5448,1.4,1.45,0.262,57.5,32.5,10,35,10,10,17.7826,-64.60163
1046,2017,1,14.6304,1.9,1.525,0.82625,25,74,1,25,15,3,17.78303,-64.61217
1047,2017,1,13.5636,1.6,2.1,0.32375,45,45,10,30,15,7.5,17.78316,-64.60086
1048,2017,1,13.4112,1.4,1.365,0.393,32.5,27.5,40,20,34,1,17.78859,-64.60176
1049,2017,1,12.4968,1.25,1.475,0.255,0.5,62,37.5,22.5,25,2.5,17.78863,-64.60076
1050,2017,1,12.4968,1.3,1.49,0.395,6,41.5,52.5,20,17.5,3,17.78908,-64.59941
1051,2017,1,12.6492,1.55,1.85,0.536875,45,37.5,17.5,3.5,13.5,1.5,17.79036,-64.60451
1052,2017,1,12.3444,9.5,1.95,2.9955,12.5,75,12.5,13,9,2.5,17.79487,-64.61732
1053,2017,1,13.4112,4,1.9,1.08725,20,55,25,12,14,1.5,17.79486,-64.61455
1055,2017,1,24.5364,0.65,1.755,0.47125,0,97.5,2.5,71,5,4,17.77413,-64.521
1056,2017,1,25.908,3.25,1.75,1.361,20,75,5,30,15,10,17.7676,-64.51292
1057,2017,1,26.2128,3.25,1.35,0.967,30,60,10,25,17.5,10,17.76914,-64.51071
1059,2017,1,13.716,0.35,0.65,0.10375,0,98.5,1.5,1,0,0.5,17.68062,-64.71816
1060,2017,1,17.9832,0.7,0.25,0.1,96.5,1.5,2,10,0,15,17.68103,-64.7205
1061,2017,1,12.0396,0.45,1.35,0.2125,5,87.5,7.5,3.5,40,7.5,17.77673,-64.61624
1062,2017,1,14.478,0.95,1.45,0.237,42.5,50,7.5,6,34,3.5,17.7802,-64.61233
1063,2017,1,11.5824,1,0.825,0.28025,15,80,5,7.5,8.5,4,17.78242,-64.58576
1064,2017,1,12.954,1.1,1.8,0.43225,30,52.5,17.5,10,32.5,3,17.78327,-64.59508
1065,2017,1,17.3736,0.5,0.85,0.1475,7.5,75,17.5,6,10,12.5,17.78883,-64.57738
1066,2017,1,18.288,0.3,0.7,0.125,0,100,0,1,7,7,17.79655,-64.5773
1067,2017,1,12.3444,0.575,1.35,0.179,5,92.5,2.5,6,20,2,17.79684,-64.58679
1068,2017,1,16.6116,0.9,1.3,0.24575,0,99.5,0.5,5.5,37.5,2,17.79974,-64.58721
1069,2017,1,13.716,1.15,1.25,0.184,17.5,82.5,0,3.5,7.5,6,17.80048,-64.59424
1070,2017,1,12.192,1.1,1.75,0.62375,7.5,87.5,5,3.5,15,3.5,17.80342,-64.60758
1071,2017,1,13.1064,0.45,1.25,0.15375,0,100,0,8.5,25,6.5,17.8078,-64.62704
1072,2017,1,22.7076,0.825,1.375,0.2625,25,72.5,2.5,10,15,12.5,17.80883,-64.62699
1073,2017,1,26.9748,0.75,1.6,0.24375,10,85,5,10,7.5,7.5,17.80876,-64.62172
1074,2017,1,15.6972,0.31,1.725,0.1375,0,100,0,3.5,10,7.5,17.80963,-64.63575
1075,2017,1,21.7932,0.55,0.9,0.19875,0,100,0,0.5,7,12.5,17.69895,-64.62971
1076,2017,1,19.9644,0.275,1,0.25,20,75,5,1,3,4.5,17.7013,-64.63713
1077,2017,1,18.1356,0.35,0.7,0.1025,0,100,0,0.5,2,2.5,17.70898,-64.62505
1085,2017,1,20.7264,0.39,1.7,0.2625,0,96,4,3,22.5,20,17.73736,-64.54403
1086,2017,1,21.6408,0.825,1.225,0.1575,12.5,82.5,5,3,19,12.5,17.74634,-64.53182
1088,2017,1,23.3172,0.45,0.75,0.11875,2.5,95,2.5,3,0,7.5,17.77227,-64.56337
1089,2017,1,25.6032,2.25,1.6,0.50275,27.5,62.5,10,27.5,15,3.5,17.77508,-64.53798
1090,2017,1,20.7264,0.4,0.45,0.11875,40,55,5,6,10,22.5,17.78749,-64.57154
1091,2017,1,23.7744,0.775,1.375,0.33,5,90,5,10,10,3,17.78781,-64.5343
1092,2017,1,18.1356,0.75,1.525,0.2055,0,99,1,17.5,41.5,6,17.79318,-64.55362
1093,2017,1,16.764,0.405,1.15,0.12075,0,95,5,6.5,38.5,12.5,17.79633,-64.55036
1095,2017,1,20.4216,1.05,2.05,0.3375,7.5,72.5,20,12,15,12.5,17.7753,-64.49409
1098,2017,1,20.4216,0.675,2.125,0.26875,2.5,95,2.5,6,10,10.5,17.78643,-64.47695
1099,2017,1,21.4884,0.5,1.95,0.125,15,67.5,17.5,4,12.5,7.5,17.79171,-64.47143
1100,2017,1,17.8308,0.475,1.4,0.125,5,87.5,7.5,4.5,15,13,17.79264,-64.46115
1101,2017,1,22.5552,0.45,1.1,0.12225,6,87.5,6.5,12.5,36.5,13.5,17.79657,-64.52
1104,2017,1,14.9352,0.45,1.55,0.16875,6,92,2,9.5,65,9,17.80056,-64.53642
1105,2017,1,22.7076,0.675,1.725,0.16025,2.5,87.5,10,3,9,4,17.80165,-64.52598
1106,2017,1,13.2588,0.275,1.875,0.10625,1,99,0,3.5,22.5,7.5,17.8016,-64.54086
1107,2017,1,20.8788,1.05,1.7,0.2625,10,82.5,7.5,4.5,7,2.5,17.80533,-64.52651
1108,2017,1,17.6784,0.75,1.15,0.27625,10,87.5,2.5,13,27.5,7,17.80729,-64.52806
1109,2017,1,21.7932,1.75,1.35,0.37875,17.5,80,2.5,7.5,15,4,17.81115,-64.49591
1110,2017,1,17.526,0.8,1.275,0.295,0,67.5,32.5,4.5,16.5,4,17.81464,-64.49993
