SPECIES_CD,FAMILY,SCINAME,COMNAME,LC,LM,WLEN_A,WLEN_B
ABL HIAN,Belonidae,Ablennes hians,flat needlefish,,,,
ABU SAXA,Pomacentridae,Abudefduf saxatilis,sergeant major,,,0.0000164,3.142
ABU TAUR,Pomacentridae,Abudefduf taurus,night sergeant,,,,
ACA ASPE,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,,,0.0000084,2.962
ACA CHAP,Chaenopsidae,Acanthemblemaria chaplini,papillose blenny,,,0.0000084,2.962
ACA MARI,Chaenopsidae,Acanthemblemaria maria,secretary blenny,,,0.0000084,2.962
ACN SPE.,Chaenopsidae,Acanthemblemaria species,tube blenny Acanthemblemaria,,,,
ACA SPIN,Chaenopsidae,Acanthemblemaria spinosa,spinyhead blenny,,,0.0000084,2.962
ACA SOLA,Scombridae,Acanthocybium solandri,wahoo,,,,
ACA POLY,Ostraciidae,Acanthostracion polygonia,honeycomb cowfish,,,0.0000179,3
ACA QUAD,Ostraciidae,Acanthostracion quadricornis,scrawled cowfish,,,0.0000955,2.2629
ACA BAHI,Acanthuridae,Acanthurus bahianus,ocean surgeon,,,0.000025,2.9752
ACA CHIR,Acanthuridae,Acanthurus chirurgus,doctorfish,,,0.0000012,3.532790894
ACA COER,Acanthuridae,Acanthurus coeruleus,blue tang,,,0.0000618,2.834578168
ACA SPE.,Acanthuridae,Acanthurus sp.,surgeonfish species,,,0.0000239,2.9435
ACE DEND,Syngnathidae,Acentronura dendritica,pipehorse,,,,
AET NARI,Myliobatidae,Aetobatus narinari,spotted eagle ray,,,0.00000437,3.13
AHL EGMO,Ophichthidae,Ahlia egmontis,key worm eel,,,0.000000989,3.005
ALB VULP,Albulidae,Albula vulpes,bonefish,,,,
ALE CILI,Carangidae,Alectis ciliaris,African pompano,,,0.0000582,2.85
ALP AFER,Serranidae,Alphestes afer,mutton hamlet,,,0.0000152,3.0038
ALU MONO,Monacanthidae,Aluterus monoceros,unicorn filefish,,,0.0000213,2.96
ALU SCHO,Monacanthidae,Aluterus schoepfii,orange filefish,,,0.0000069,3
ALU SCRI,Monacanthidae,Aluterus scriptus,scrawled filefish,,,0.0000022,3
ALU SPE.,Monacanthidae,Aluterus sp.,filefish species,,,0.00000691,2.9867
AMB PINO,Cirrhitidae,Amblycirrhitus pinos,redspotted hawkfish,,,0.000000974,3.426590715
ANC LYOL,Engraulidae,Anchoa lyolepis,dusky anchovy,,,0.00000372,3.1694
ANI SURI,Haemulidae,Anisotremus surinamensis,black margate,20,,0.00000239,3.391648512
ANI VIRG,Haemulidae,Anisotremus virginicus,porkfish,22,23.1,0.0000101,3.167407164
ANT OCEL,Antennariidae,Antennarius ocellatus,ocellated frogfish,,,0.0000051,3
APO AURO,Apogonidae,Apogon aurolineatus,bridle cardinalfish,,,0.0000104,3.1295
APO BINO,Apogonidae,Apogon binotatus,barred cardinalfish,,,0.0000104,3.1295
APO LACH,Apogonidae,Apogon lachneri,whitestar cardinalfish,,,,
APO MACU,Apogonidae,Apogon maculatus,flamefish,,,0.0000133,3.073
APO PHEN,Apogonidae,Apogon phenax,mimic cardinalfish,,,0.0000104,3.1295
APO PSEU,Apogonidae,Apogon pseudomaculatus,twospot cardinalfish,,,0.0000228,2.943
APO QUAD,Apogonidae,Apogon quadrisquamatus,sawcheek cardinalfish,,,0.0000104,3.1295
APO SPE.,Apogonidae,Apogon species,cardinalfish species,,,,
APO TOWN,Apogonidae,Apogon townsendi,belted cardinalfish,,,0.0000104,3.1295
ARC PROB,Sparidae,Archosargus probatocephalus,sheepshead,,,0.0000267,3.045
ARC RHOM,Sparidae,Archosargus rhomboidalis,sea bream,,,0.0000142,3.1021
ARI BALE,Congridae,Ariosoma balearicum,bandtooth conger,,,,
AST PUNC,Apogonidae,Astrapogon puncticulatus,blackfin cardinalfish,,,0.0000142,3.077
AST SPE.,Apogonidae,Astrapogon sp.,cardinalfish species,,,0.0000142,3.077
AST STEL,Apogonidae,Astrapogon stellatus,conchfish,,,0.0000142,3.077
AST GUTT,Uranoscopidae,Astroscopus guttatus,northern stargazer,,,,
AST Y-GR,Uranoscopidae,Astroscopus y-graecum,southern stargazer,,,,
ATH SPE.,Atherinidae,Atherinomorus species,silverside species,,,,
ATH STIP,Atherinidae,Atherinomorus stipes,hardhead silverside,,,0.00000506,3.1938
AUL MACU,Aulostomidae,Aulostomus maculatus,Atlantic trumpetfish,,,0.000000418,3.3334
BAL CAPR,Balistidae,Balistes capriscus,gray triggerfish,30,,0.0000291,2.935218674
BAL SPE.,Balistidae,Balistes sp.,triggerfish species,,,0.0000421,2.8602
BAL VETU,Balistidae,Balistes vetula,queen triggerfish,,,0.0000273,2.990264014
BAT SOPO,Gobiidae,Bathygobious soporator,frillfin goby,,,,
BLE SPE.,Gobiidae,blenny species,blenny species,,,0.0000145,2.987
BOD PULC,Labridae,Bodianus pulchellus,spotfin hogfish,7.5,,0.0000201,2.9992
BOD RUFU,Labridae,Bodianus rufus,Spanish hogfish,5,,0.0000128,3.053
BOL BOQU,Gobiidae,Bollmannia boqueronensis,white-eye goby,,,,
BOT LUNA,Bothidae,Bothus lunatus,peacock flounder,,,0.00000634,3.189410576
BOT OCEL,Bothidae,Bothus ocellatus,eyed flounder,,,0.00000434,3.226
BOT SPE.,Bothidae,Bothus species,lefteye flounders,,,,
BRO BARB,Ophidiidae,Brotula barbata,Atlantic bearded brotula,,,,
CAL BAJO,Sparidae,Calamus bajonado,jolthead porgy,22,,0.0000668,2.8175
CAL CALA,Sparidae,Calamus calamus,saucereye porgy,20,,0.0000679,2.8009
CAL LEUC,Sparidae,Calamus leucosteus,whitebone porgy,,,,
CAL NODO,Sparidae,Calamus nodosus,knobbed porgy,,,0.00000571,3.13
CAL PENN,Sparidae,Calamus penna,sheepshead porgy,,,0.000165994,2.663
CAL PENA,Sparidae,Calamus pennatula,pluma porgy ,,,,
CAL PROR,Sparidae,Calamus proridens,littlehead porgy,,,0.0000241,3
CAN MACR,Monacanthidae,Cantherhines macrocerus,whitespotted filefish,,,0.000124613,2.6534
CAN PULL,Monacanthidae,Cantherhines pullus,orangespotted filefish,,,0.000186733,2.5632
CAN SUFF,Balistidae,Canthidermis sufflamen,ocean triggerfish,36,,0.0000155,3.055379087
CAN JAME,Tetraodontidae,Canthigaster jamestyleri,goldface toby,,,,
CAN ROST,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,,,0.0000251,2.9219
CAN SPE.,Tetraodontidae,Canthigaster species,puffers,,,,
CAR BART,Carangidae,Carangoides bartholomaei,yellow jack,30,,0.000032,2.908507846
CAR CRYS,Carangidae,Caranx crysos,blue runner,,,0.000106987,2.69
CAR HIPP,Carangidae,Caranx hippos,crevalle jack,,,0.0000955,2.734448643
CAR LATU,Carangidae,Caranx latus,horse-eye jack,,,0.0000225,2.97
CAR LUGU,Carangidae,Caranx lugubris,black jack,,,0.0000198,3.001
CAR RUBE,Carangidae,Caranx ruber,bar jack,25,,0.00000429,3.236983681
CAR SPE.,Carangidae,Caranx sp.,jack species,,,0.0000248,2.9499
CAR FALC,Carcharhinidae,Carcharhinus falciformis,silky shark,,,0.0000088,3.06
CAR LEUC,Carcharhinidae,Carcharhinus leucas,bull shark,,,0.0000133,2.923
CAR LIMB,Carcharhinidae,Carcharhinus limbatus,blacktip shark,,,0.00000596,3.01
CAR OBSC,Carcharhinidae,Carcharhinus obscurus,dusky shark,,,,
